open_day,hedge_stock,action,stock,new_allocation$,new_quantity,open_price,signal,close_day,close_price,close_type,sector
60,,buy to open,AGIO,10000,160.7717042,62.2,-2.545036125,-99,-99,,Health Technology
60,AGIO,short to hedge,A,-770.1038455,-11.37188195,67.72,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,ABBV,-1728.027279,-20.05835495,86.15,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,ABMD,-269.8128902,-0.894605074,301.6,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,ABT,-1169.965795,-17.0723157,68.53,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,AGIO,-856.2238733,-13.76565713,62.2,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,AGN,-745.0414312,-4.827586543,154.33,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,ALGN,-160.3199745,-0.743185493,215.72,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,ALKS,-239.9173206,-6.984492594,34.35,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,ALNY,-873.6360266,-12.02030857,72.68,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,ALXN,-1406.457461,-11.90803032,118.11,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,AMGN,-2448.554067,-12.70194567,192.77,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,BAX,-7182.957976,-109.613276,65.53,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,BDX,-702.8807406,-2.903985873,242.04,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,BIIB,-1910.970575,-6.055807373,315.56,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,BIO,-946.1781813,-3.515300124,269.16,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,BLUE,-1159.213699,-9.919679091,116.86,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,BMRN,-1327.849308,-14.18794004,93.59,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,BMY,-814.7014941,-15.31393786,53.2,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,BRKR,-1111.36761,-34.948667,31.8,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,BSX,-1233.393361,-35.64720698,34.6,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,CELG,-1119.392278,-16.57376782,67.54,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,CMD,-1264.471366,-14.96415817,84.5,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,COO,-1508.407785,-5.672411946,265.92,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,CTLT,-168.5595934,-4.432279607,38.03,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,DHR,-1215.488329,-11.80773585,102.94,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,DXCM,-789.7005565,-6.493713975,121.61,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,EW,-815.4042119,-5.501310295,148.22,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,EXAS,-577.0729091,-8.668663198,66.57,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,EXEL,-745.7945139,-41.20411679,18.1,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,GILD,-2509.798377,-37.60560948,66.74,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,HOLX,-952.805179,-22.93705294,41.54,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,HRC,-686.8403555,-7.464844642,92.01,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,IART,-5268.908821,-99.48845962,52.96,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,ICUI,-640.8703962,-2.710269797,236.46,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,IDXX,-1185.129505,-6.125016822,193.49,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,ILMN,-731.6599584,-2.361107391,309.88,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,INCY,-996.6117166,-15.55504474,64.07,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,IONS,-737.2959699,-13.71458277,53.76,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,ISRG,-1220.830163,-2.483280101,491.62,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,JAZZ,0,0,147.62,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,JNJ,-1513.192793,-10.65703777,141.99,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,LLY,-1084.873653,-9.666521006,112.23,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,MASI,-1722.270773,-16.67574334,103.28,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,MDT,-1649.796338,-17.74546992,92.97,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,MRK,-1911.698139,-25.56087898,74.79,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,MTD,-859.176829,-1.453251516,591.21,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,MYL,-34.15511461,-1.023220929,33.38,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,NBIX,-765.8868853,-8.493810417,90.17,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,NKTR,-109.689667,-2.936805007,37.35,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,PEN,-763.321135,-6.075462711,125.64,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,PFE,-2755.108682,-63.92363531,43.1,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,PKI,-1069.983846,-13.22437085,80.91,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,PODD,-835.9205963,-10.70457928,78.09,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,PRGO,0,0,61.01,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,QGEN,-1009.633216,-29.59933205,34.11,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,REGN,-1096.755437,-3.195953715,343.17,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,RMD,-678.6298782,-6.598248694,102.85,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,SAGE,-452.8522884,-4.176448292,108.43,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,SGEN,-556.2742643,-9.718278551,57.24,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,SRPT,-677.693269,-5.792250162,117,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,STE,-577.4483077,-5.098881304,113.25,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,SYK,-2191.458354,-13.3349054,164.34,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,TECH,-229.3376221,-1.465603413,156.48,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,TFX,-753.0132201,-2.958910842,254.49,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,TMO,-1504.275892,-6.455565584,233.02,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,TSRO,-56.05172728,-1.307176476,42.88,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,UTHR,-4340.731144,-38.00324938,114.22,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,VAR,-69.71072105,-0.606232899,114.99,-99,-99,-99,,Health Technology
60,AGIO,short to hedge,VRTX,-777.0036553,-4.848696757,160.25,-99,-99,-99,,Health Technology
